Job Title,Job Description,Location,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,"Position Overview

The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical. Possesses a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Responsibilities

Work with large, complex, and disparate data sets
Design and implement innovative ways to analyze and exploit the customer's data holdings
Research and report on a wide variety of customer's inquiries
Raise proactive inquiries based on observations and proposed data analysis/exploitation
Solve difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Develop custom searches
Communicate and coordinate with internal and external partners as needed

Required Qualifications

Thorough knowledge of analytic tools and methodologies such as probability and statistics, formal modeling, computational social sciences, computer science, machine learning and/or scientific computing.
Ability to code or script in one or more programming/scripting languages
Understanding and use of algorithms such as classification, regression, clustering, and anomaly detection
Knowledge of relational databases and/or non-relational data stores, including RDBMS and large-scale distributed systems (e.g. Hadoop)
Demonstrated ability to use technical and analytic skills to solve complex investigative problems
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
Active TS/SCI with polygraph required

Preferred Qualifications

Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)","Chantilly, VA",$98K-$160K (Glassdoor Est.),5,"Data Works
5.0",1 to 50 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD)
Data Scientist,"Position Number: 342678

Location: Oakland, CA 94612

Position Type: Temporary

Required Skill Set:
Data Scientist, Python, R Programming

Position Description:
*C2C is not available**
*Only U.S. Citizens and those authorized to work in the U.S. can be considered as W2 candidates.**
Job Title: Data Scientist
Duration: 5 Months plus (Will extend thru Dec 20121)
Location: Oakland/ Pleasanton, CA (Can work from any of the location)
Job Details:
Programming ability in Python/R/C++/Java (required)
Proficiency in algorithms and data structures (required)
Solid understanding of machine learning concepts (required)
Experience in software development/engineering (preferred)
An ideal candidate should have excellent communication skills, solid programming and problem-solving skills, and a solid grasp of statistics and/or Machine Learning.
Responsibilities and Duties:
Understand business problems and suggest data and analytic solutions to support decision makers.
Help develop and transform data sets using variety of programming languages.
Develop and test analytic hypotheses using established methods.
Create data visualizations that convey a clear story about what is observed in the data.
Design, develop, and validate predictive and explanatory models using a wide variety of models.
Communicate results to variety of audiences.

Qualifications:
Bachelors degree with evidence of quantitative aptitude.
2-4 years doing analysis, model building, causal inference.
2-4 years experience programming in R, Python, or another programming language.
2-4 years experience writing SQL queries to various databases.

Preferred Experience:
2-4 years work experience is preferred.
Masters degree or Ph.D. in computer science, statistics, data science, mathematics, engineering or other quantitative field in preferred
Analytic or operational experience and / or education in Pharmacy, Nursing, Public Health, or other relevant medicine topics is appreciated.","Oakland, CA",$98K-$160K (Glassdoor Est.),4.5,"Rose International
4.5",1001 to 5000 Employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Aviation Data Scientist,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challengesâ€”and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every dayâ€”working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITREâ€”and make a difference with us.

MITRE performs leading-edge research and development toward transformational solutions to our worldâ€™s most challenging problems. Our Center for Advanced Aviation Systems Development is a Federally-Funded Research and Development Center (FFRDC) established to serve as strategic partners to the federal government and various aviation groups around the world. Our engineers, analysts, technical and operational experts team to solve problems in the public interest that improve the safety and efficiency of the airspace system in the U.S. and abroad. The Aviation Operations, Procedures & Safety division is seeking a highly qualified engineer to work in one of the following areas: Airspace and Procedure Design and Analysis; Airport and Airspace Analysis, Modeling and Design; Performance-Based Navigation Standards and Tools; and Aviation Safety Analysis. The candidate will work with the FAA and international customers, leveraging the largest repository of aviation data to improve the capabilities, safety, and efficiency of the aviation system. Come join a globally recognized partner and resource for data driven solutions that impact public good. The candidate will be responsible for: - Contributing to various projects applying innovative analysis techniques across multiple challenging problems in the field of aviation. - Working closely with other engineers and scientists in the design of exploratory analyses or simulations pertaining to aviation issues. - Drawing conclusions from a wide range of aviation system data and articulating key findings in both written and verbal form. Developing data visualization products that simplify presentation of big data calculations. Qualifications: - Knowledge of programming/scripting languages (eg. Python, MATLAB, R, Perl) - Familiarity with statistical analysis packages (eg. SAS, JMP) - Familiarity with machine learning techniques and algorithm development. - Excellent written and verbal communication skills. In-person presentation and writing sample may be requested. - Experience with data visualization software (eg. Tableau, D3) - Knowledge of data processing capabilities (eg. Hadoop, Pig, Spark, SQL). Skill is desired, but not required - Experience working in the aviation domain: airport operation, air traffic control, airlines. Skill is desired, but not required BS or MS in Operations Research, Applied Mathematics/Statistics Computer Science, Systems Engineering, or other physical science/engineering

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITREâ€™s employment process, please contact MITREâ€™s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright Â© 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.","McLean, VA",$98K-$160K (Glassdoor Est.),3.2,"MITRE
3.2",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD)
Data Scientist,"Position Overview:

Deep Labs is seeking an experienced, enthusiastic Data Scientist to join our growing Deep Labs AI team that is designing & building solutions for some of our client's most challenging problems. The ideal candidate will have a strong background working with data, experience applying machine learning and deep learning techniques to real-world problems, and a natural curiosity and desire to experiment, evaluate and solve problems as part of a fast-paced and growing, product-driven technology team. The role reports to the VP, Data Science & Engineering.

Responsibilities:
Build regression, classification and clustering models using Machine Learning and/or Deep Learning algorithms and techniques (e.g. CNN, LSTM, GAN, transfer learning, reinforcement learning, graph learning)
Identify opportunities to enrich and integrate data from multiple, diverse sources
Build, train and evaluate prototype models, using a tool or framework of choice
Work closely with engineering/infrastructure teams to help transition models from development to production
Follow a methodical, analytical approach and have a natural curiosity to understand and get the best from data
Collaboration across teams: communicate effectively across a variety of technical and non-technical audiences
Experience:
Minimum of 3 years of experience in a dedicated Data Scientist role modeling fraud/risk, in one or more of the following industries: finance, payments, banking, risk, fraud, identity or behavioral analytics
Knowledge and experience of Python (preferred) or R, and associated data manipulation/analysis libraries
Working knowledge of open-source machine/deep learning tools and frameworks (e.g. Tensorflow, pytorch, h2o.ai, Databricks, scikit-learn)
Experience using data mining & descriptive analytics to explore and profile new datasets, perform feature selection and extraction, and develop ethical and interpretable models
Knowledge and/or work experience of public cloud environments (e.g. Google GCP or Amazon AWS)
Education: Masters or PhD level qualification in computer science, mathematics, or related discipline

Specific Skills:
Knowledge and experience of good software engineering practices
Keen interest and desire to stay abreast of the latest developments in AI research and industry
Demonstrated ability to take initiative and interact within a global team environment
Strong analytical and quantitative skills; strong attention to detail
Why Deep Labs?

At Deep Labs there is tremendous potential to learn and grow, while also contributing to policies, decisions, and the direction of the company. We offer competitive compensation and benefits, and provide a highly open, honest, and fun work environment.

Our company is committed to equal employment opportunity. We will not discriminate against employees or applicants for employment on any legally-recognized basis [""protected class""] including, but not limited to: age, race, gender, pregnancy, religion or creed, color, national origin, sexual orientation, disability, genetic characteristics, military or veteran status, uniform service member status or any other protected class under federal, state or local law.","San Francisco, CA",$98K-$160K (Glassdoor Est.),3.7,"Deep Labs
3.7",1 to 50 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,"Department


Quality
Location


San Diego, CA
Job Type


Full Time
ID #


1234642
Apply
Cue Health Inc. is seeking a Full-time Data Scientist who will work closely with the Leading Data Scientist to understand business objectives and participate to data science processes that can be used to achieve business goals. The Data Scientist will acquire and preprocess data, perform ad hoc analyses and modeling processes, assist creating algorithms and predictive models to achieve business objectives, then help analyze the data, collaborate and share insights with peers.

Responsibilities:
data science methods and techniques, such as machine learning, statistical modeling, and data mining techniques
Ensure data quality throughout all stages of data acquisition, processing and visualization, including data collection, cleaning, normalization, transformation, integration and storage
Uses statistical reporting, and data analysis methodologies to identify trends in large data sets
Make adjustments based on feedback
Present final results to stakeholders
Responsible for assisting the data science team and performing functional duties under the supervision of the leading data scientist
Additional duties as assigned
Requirements:
Bachelor of Science Degree or higher in computer science, physics, mathematics, engineering, statistics or other related STEM discipline with strong analytical and computing skills
1-3 years of hands on experience building, deploying and evaluating ML techniques and advanced analytics (e.g., regression, classification, clustering, time series)
Minimum of 1 year of highly developed skills in Python and relational and non-relational databases (e.g., SQL, MongoDB)
Strong ETL, statistical and data visualization skills
Knowledge of Shell programming (Bash) on Mac/Linux OS
Knowledge and experience using software version control systems (e.g., Git)
Experience working in a team environment and ability to communicate results in an efficient and timely manner
Hands-on experience with cloud computing technologies such as AWS or GCP is a plus
Physical Requirements:
Remaining in a stationary position, often standing or sitting for prolonged period of time
Adjusting things with precision
Adjusting, moving or lifting objects up to 25 pounds
Repeating motions that may include the wrists, hands and/or fingers
As part of Cue, you will:


Work closely with the Leading Data Scientist to understand business objectives and participate to data science processes that can be used to achieve business goals
Where youâ€™ll work


You will work in a modern open office located in Sorrento Valley in San Diego, CA, with a lot of natural light. As an early employee your contribution will set the pace and have an impact in Cueâ€™s future. Your work and ideas will be valued and respected, and we hope you will find enjoyment working with a great team on such an innovative device.
Perks within Cue culture
Unlimited snacks
Competitive salary
Stock options
Robust Health/Dental/Vision benefits, including optional HSA","San Diego, CA",$98K-$160K (Glassdoor Est.),4.2,"Cue
4.2",51 to 200 Employees,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,"JOB SUMMARY
Responsible for scoping, developing, modeling, implementing, and delivering robust data analytics by using Teradata Aster and/or other analytic tools.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently support all efforts to simplify and enhance the customer experience

Understand customer business use cases and be able to translate them to technical specifications and vision on how to implement a solution

Clearly communicate the benefits of the analytic solutions to both a business as well as a technical audience

Leverage knowledge in analytic and statistical algorithms to help customers explore methods to improve their business

Lead large-scale analytical research projects through all stages including concept formulation, determination of appropriate statistical methodology, data manipulation, research evaluation, and final research report

Design, build, and extract large and complex data sets while thinking strategically about uses of data and how data use interacts with data design

Lead large-scale data studies and data discovery for new data sources or new uses for existing data sources

Lead design and implementation of statistical data quality procedures for existing and new data sources

Visualize and report data findings creatively in a variety of visual formats that appropriately provide insight to the stakeholders

Establish links across existing data sources and find new, interesting data correlations

Work closely with the sales team to come up with analytical solutions for prospects

Work closely with the operations team to define the implementation of these solutions

Achieve business value of analytics through deployment of the nCluster database

Achieve defined project goals within customer deadlines; proactively communicate status and escalate issues as needed

Willing to learn: Develop expertise in areas outside of core comfort zone

REQUIRED QUALIFICATIONS
Skills/Abilities and Knowledge
Ability to read, write, speak and understand English
Excellent team player
Must be self-motivated, results-driven, and able to work with minimum supervision
Intellectually curious
Outstanding interpersonal, communication and customer relationship skills able to work effectively with customers from developers and Ops personnel through senior management
Extensive experience with analytical and statistical software
Extensive experience with design and implementation of data warehousing, relational databases, and associated infrastructures
Passionate about data maintenance, data quality control and all other important data analysis techniques
Excellent analytical and problem solving skills with attention to detail and data accuracy
Strong interpersonal communication, verbal and written, relationship management, and customer service skills with a focus on working effectively in a team environment
Ability to use MS Office Suite (Word, Excel, PP, Access, Visio)
Ability to work cross-functionally to solve complex problems and improve quality and service
Ability to perform involved and independent research and analysis
Ability to maintain confidentiality and appropriately handle sensitive information

Related Work Experience Number of Years
Data manipulation and statistical modeling as a Scientist, Consultant,
Architect, DBA, or Engineer 5+
Programming experience 5+

Education
MS or PhD in Computer Science, Physics, Math, Statistics, Economics, Quantitative Analysis or equivalent experience

PREFERRED QUALIFICATIONS
Skills/Abilities and Knowledge
Extensive experience with data programming languages such as SQL
Extensive experience with large data sets or Big Data
Experience with distributed computing tools such as Hadoop or Map/Reduce

WORKING CONDITIONS
Office Environment
Travel as required","Stamford, CT",$98K-$160K (Glassdoor Est.),3,"SPECTRUM
3.0",10000+ Employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
AI Data Scientist,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challengesâ€”and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every dayâ€”working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITREâ€”and make a difference with us.

A chance to provide active support to our sponsorâ€™s vital national security mission and to build MITREâ€™s capabilities in the artificial intelligence and machine learning arenas. This is a strategic leadership role with the successful candidate also advising and working to expand MITREâ€™s internal capabilities and programs in artificial intelligence and machine learning. The selected candidate will work with MITRE management and sponsors to enhance the robustness of MITRE AI/ML capabilities and to have direct input into immediate and long term AI/ML technical direction of multiple sponsors. While still having a technical focus on current AI/ML technology and trends, this role will have small group management responsibilities and requires knowledge.

From the technical side, this role requires the ability to perform technical evaluation and selection of technologies and alternatives for infrastructure and specific applications, formulation of computational strategies and hands on implementation with real world datasets. Activities may include in-depth analysis of technology, planning and conducting experiments, prototypes and simulations, producing assessments, and creating repeatable workflows and underlying technology requirements. On the strategic side, this role requires technical team building and planning for long term growth of MITREâ€™s support to sponsors in the AI/ML arena. The role also requires the ability to communicate findings and impacts to a diverse audience, including senior decision makers. This is an opportunity to shape and have a long lasting impact on AI/ML for national security tasks.

Requirements
Technical degree with experience in software engineering and prototyping for analytics.
Minimum of 8 years of experience in a technical field, including but not limited to: Computer Science, Data Science, Computational Analytics, Informatics, or Machine Learning.
Experience with Python, R, and Jupyter Notebooks
Strong analytic, inferencing, critical thinking, and creative problem-solving skills.
Small group leadership experience.
Self-starter with ability to work alone and to build a diverse team.
Strong communication skills and ability to explain technical concepts to non-technical and senior decision-makers
Understanding of systems engineering processes including requirements analysis
Current TS/SCI clearance with polygraph
Desired Skills
Doctorate in computational sciences or related field
Experience with data wrangling for analytics and machine learning
Familiarity with small scale and large scale AI/ML environments
Program strategy development and demonstrated leadership ability
Experience with cloud-based environments and other virtualization technologies
MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITREâ€™s employment process, please contact MITREâ€™s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright Â© 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.","McLean, VA",$98K-$160K (Glassdoor Est.),3.2,"MITRE
3.2",5001 to 10000 Employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD)
Data Scientist,"Safety and Compliance Team within Amazon Product Assurance, Risk & Security (PARS) Safety team powers the physical engine at the heart of Amazon. PARS builds and operates the software, responsible for ensuring the safety of our customers along with regulatory compliance. We are constantly innovating in the ways we can automate and accelerate safety and compliance processes and procedures using state of the art technologies.
With the scale and growth of Amazon, the Safety and Compliance team is doing extraordinary work to protect our customers, business partners, transportation systems and environment. Our research and technology teams are able to keep illegal, dangerous and recalled products out of the reach of customers. We are working towards reducing the carbon footprint and being socially responsible at a global level. We use Large Scale Distributed Processing, OO technologies, Big Data, IoT, Machine Learning, Natural Language Processing and Risk Modeling to solve the some of the most complex problems to protect and delight our customers.
Our team is looking for top-notch Data Scientists who love listening to our customers, working as a team, and developing machine learning models to help keep our customers safe. Our mission is to innovate and build scalable and robust software and artificial intelligence solutions that deliver a great customer experience. These software solutions will directly impact Amazons customers from product selection and order placement, to delivering products to our customers as quickly and cost effectively as possible.



What youll do?
Â· Lead the design, development, and deployment of advanced machine learning models
Â· Participate in the definition of secure, scalable, and low-latency services and efficient processes.
Â· Work with cross-functional teams delivering on demanding projects.
Â· Functionally decompose complex problems into simple, straight-forward solutions.
Â· Understand system interdependencies and limitations.
Â· Apply knowledge of applied mathematics, statistics and artificial intelligence.











Basic Qualifications

Â· Bachelor's degree in Computer Science, Math or a related field
Â· 3+ years professional experience in Machine Learning
Â· Demonstrated proficiency in at least one software language that supports model development (R, Scala, Python, etc)
Â· Experience building predictive models including random forests, neural nets, and logistic regression
Â· Strong problem solving and troubleshooting skills.
Â· Ability to take a project from scoping requirements through project launch.

Preferred Qualifications

Â· Masters degree in Computer Science, Math or a related field
Â· Experience with SageMaker, Keras, or other model building pipeline","Austin, TX",$98K-$160K (Glassdoor Est.),3.9,"Amazon
3.9",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,"What We Do
Kalderos delivers technology that solves the challenges facing the US healthcare system. At Kalderos, we develop technology solutions with a focus on simplifying the complex coordination of drug discount programs from exhaustive data services to intelligent reporting to issue resolution.

To learn more: https://www.kalderos.com/company/about

What Data Scientists Do

The Data Science teamâ€™s mission at Kalderos is to maximize the trust of all participants in our Drug Discount Management Platform. This starts with having trust in each other as a team, then expanding it to do this work in three primary ways: building differentiated datasets, measuring what matters, and optimizing the right process transparently. If that means a model, great! If that means working with design to develop a different product approach, also great! Below are some possible day to day tasks for a data scientist at Kalderos.
Build, test, deploy, and maintain supervised or unsupervised learning models. Work with internal teams that operationalize that work to ensure their output is high quality and continually improving for end users
Create internal dashboards to monitor processes and measure impact
Participate in generating collateral that supports our sales process or creates valuable industry content that showcases Kalderosâ€™ unique position in the industry
Work with product teams to collect forward looking data points to enable future data science solutions
Build internal tools to enable team mates to scale their knowledge and increase impact
Learn a new programming language, data science technique, or about the pharmaceutical industry - we continually build our skills and explore new things


What We Are Looking For
Some work experience as a Data Scientist in a full time role
Ability to write machine learning and data analysis code in R or Python
Some ways you may demonstrate this are:
Open GitHub Repositories or portfolios
Project descriptions of what you have accomplished
Kaggle competitions
Published or working papers that use data science methods
Ability to take complex information and communicate it clearly for different stakeholders, both technical and non-technical
Some ways you may demonstrate this are:
Talks or presentations you have given in the past
Speaking through your work history in a phone interview
High quality data visualizations that communicate complex information clearly
Candidates must be authorized to work in the US and be able to work in Chicago


What May Set You Apart
Experience in healthcare or pharmaceuticals
Open source contributions to popular data science tools
Experience with data engineering tools such as Airflow
Experience working with Azure or similar public cloud
Experience working with SQL Server or similar databases

If you think you meet some of the list of the above, but not everything, thatâ€™s perfectly fine! We encourage you to apply regardless. At Kalderos, we know talent comes in many forms, and weâ€™re willing to look beyond a set of rigid criteria to find the right teammate.

Company Perks

401K plan with matching
Healthcare benefits
Flexible schedule and a fair PTO system that allows for a healthy work-life balance
Opportunity to work on new technologies and learn new skills
Celebration, and education stipends

To learn more: https://www.kalderos.com/company/culture

Kalderos is an equal opportunity workplace. We are committed to equal opportunity regardless of race, color, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, or veteran status.

Due to the circumstances of the COVID-19 pandemic, Kalderos has decided to protect our current and future employees by shifting to an entirely remote workforce. We will continue to operate, interview, onboard, and work remotely. Please be aware that some of our roles will not be remote long-term and will return to an office setting once we're safe to do so following the guidance of local health authorities and the CDC.","Chicago, IL",$98K-$160K (Glassdoor Est.),5,"Kalderos
5.0",1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,"Brooksource Consulting*
Role: * Data Scientist
Business Objective: *
Brooksource was recently awarded a new consulting engagement with one of our biggest Colorado/Utah based media and streaming clients. We will be growing our scope and presence within their organization, and as a result, weâ€™re helping to assemble teams across their offices in Colorado (Denver Tech Center) and Utah (Salt Lake City/American Fork) in an effort to modernize their engineering organizations.
Additional Context:
_Our client provides an over-the-top (internet delivered) television experience on TVs, tablets, gaming consoles, computers, smartphones, smart TVs and other streaming devices. Distributed across a variety of strategic device partners, including Google, Amazon, Apple TV, Microsoft, Roku, Samsung, LG, Comcast, and many others, they offer two primary domestic streaming services that collectively include more than 100 channels of top content. Featured programmers include Disney/ESPN, NBC, AMC, A&E, EPIX, NFL Network, NBA TV, NHL Networks, Pac-12 Networks, Hallmark, Viacom, and more._
As you may have noticed, the way we watch TV is going through a transformation. This cuts across multiple dimensions like video delivery mechanism, content discovery interfaces, highly competitive dynamics in the market, and the sheer multitude of content available to the customer. This is an exciting time to look at this space and help the company define the future of TV. In this context, over the last several months, our client has built a team of data scientists and data engineers looking at a few important marketing domain business problems and have achieved some initial success. However, there are many more problems waiting to be solved, and there is a big opportunity for the team to do impactful work.
Location: * Englewood, CO OR American Fork, UT
Contract Details: * Contract-to-hire*.* W-2 project employment with Brooksource. Our client plans to make FTE employment offers between the 3-6 month mark.
Pay Rates: * Negotiable depending on experience
Start Date: * ASAP
Day 2 Day Responsibilities: *
The mission is to integrate personalization into our clientâ€™s product customer experience. This role will be critical in expanding personalization within their primary streaming application. The projects will ensure that customers see the most relevant content for them. Projects this role could be working on include:
Re-developing in-app search engine
Enhancing in-house recommendation engine
Developing customer behavior segments
Further developing in-app personalization features.
Video and audio analysis
Their environment isâ€¦
Complex
Highly elastic
Based on some of the latest and greatest cloud native technologies
Very fast paced
Your team will beâ€¦
Enabling a proper enterprise Data Lake in AWS
Building models and tools to get value out of the mass amounts of data they have in their environment
Enabling the best, most personalized and resilient customer experience possible
In order to be successful in this role, you will need to beâ€¦
Highly motivated, driven & hard working
Not afraid to fail and comfortable working independently and with a team
Comfortable working with massive datasets in real time and batch processing with superior analytics skills
Comfortable talking to and working with Senior Executives
Apply data mining techniques, statistical analysis, and build high quality prediction systems integrated with our product. Doing ad-hoc analysis and presenting results in a clear manner.
Processing, cleansing, and verifying the integrity of data used for analysis
Enhancing data collection procedures to include information that is relevant for building analytic systems
Required Skills: *
Bachelorâ€™s degree in Applied Math, Statistics, Data Science/Analytics, Engineering, or a related technical degree.
Proven ability to learn things quickly and stay up to date on breakthroughs in Data Science techniques.
Experience with at least one of the following programming languages: Python, R, or Golang
Comfortability with manipulating data using Python or SQL.
Experience with common statistics methodologies such as clustering, regression, forecasting, classification, regularization, resampling, etc.
Desired Skills: *
Experience with recommendation engines (item/content-based filtering, matrix factorization, LSTM/RNNs, etc.)
Experience with LTR (Learning-To-Rank), Gradient Boosting for Search, Tensorflow-Ranking, or other algorithms associated with optimizing search.
Experience with Apache Solr, ElasticSearch, or other search tools.
Great communication skills - someone who is passionate about evangelizing the value of
advanced data science capabilities.
Experience with some machine learning methodologies such as Neural Networks, SVM, Random Forest, Natural Language Processing.
Experience with AWS - Sagemaker, Athena, S3, and RedShift.
Masterâ€™s Degree and/or Ph.D. in Applied Math, Statistics, Engineering or a related field
ABOUT EIGHT ELEVEN: *
At Eight Eleven, our business is people. Relationships are at the center of what we do. A successful partnership is only as strong as the relationship built. Weâ€™re your trusted partner for IT hiring, recruiting and staffing needs.
For over 16 years, Eight Eleven has established and maintained relationships that are designed to meet your IT staffing needs. Whether itâ€™s contract, contract-to-hire, or permanent placement work, we customize our search based upon your company's unique initiatives, culture and technologies. With our national team of recruiters placed at 21 major hubs around the nation, Eight Eleven finds the people best-suited for your business. When you work with us, we work with you. Thatâ€™s the Eight Eleven promise.
Eight Eleven Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws.

Job Types: Full-time, Contract","Englewood, CO",$134K-$213K (Glassdoor Est.),4.5,"Brooksource
4.5",501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Principal Product Data Scientist/Architect,"Principal Product Data Scientist/Architect
Equinix is one of the fastest-growing data center companies, growing connectivity between clients worldwide. That's why we're always looking for creative and visionary people who can help us achieve our global interconnection goal. With 200 data centers in over 24 countries spanning across five continents, we are home to the Cloud, supporting over 1000 Cloud and IT services companies directly engaged in technological innovation and development. We are passionate about further evolving the specific areas of software development, software and network architecture, network operations, and complex Cloud and application solutions.

At Equinix, we make the internet work faster, better, and more reliably. We hire talented people who thrive on solving hard problems and give them opportunities to hone new skills, try new approaches, and grow in new directions. Our culture is at the heart of our success, and it's our authentic, humble, gritty people who create The Magic of Equinix. We share a real passion for winning and put the customer at the center of everything we do.

The Product Software team at Equinix builds next-generation software products and architecture for our Equinix software platform and services offerings. We are looking for an experienced architect with a background in data science and data architecture. As a member of the Chief Architect team, this role will collaborate with Product Management, UX, Product Engineering, and Data engineering to define and implement the analytics strategy for various Equinix digital products, including Interconnection, NFV, Bare-Metal, SmartView, SmartKey.

A successful candidate should be passionate about solving a problem using data and leveraging various analytics techniques to drive business outcomes. Excellent communication, collaboration, and leadership skills are critical to work with a cross-functional platform and product team.

Responsibilities
Define the analytics strategy for Equinix Digital product in collaboration with product managers, UX leader, and product architects
Define the holistic data model for the Product and Platform group working with the cross-functional Analytics teams
Define platform data lake architecture and ML/machine learning pipeline for driving customer Insight and recommendations
Execute the analytics strategy in partnership with Product Engineering, Office of CTO and CIO
Work cross-functionally to define the problem statement, collect data, build analytics models and make recommendations
Define the data architecture for scale and performance
Identify and implement a streamlined process, architecture, and technology for data processing and reporting
Leverage ML and AI learning, algorithms, and techniques to enhance customer engagement and experience
Keep up to date with the latest technology trends and engage in PoC to evaluate upcoming technology
Qualifications
Mathematics/Statistics, BS, MS, or Ph.D. in CS/EE, or a related field, or equivalent work experience
10+ years of experience in hands-on platform/system development
You have experience in a role with data analysis and metrics development
You have hands-on experience in data modeling, data visualization, data processing, and pipeline development
You have a strong background in SQL, data structure, and python
Knowledge of statistics and optimization technique with pattern recognition and predictive modeling skills
You possess technical depth in one or more of the following subject areas:

o Data Engineering:

Â§ Data processing for Batch and Real-Time (Hadoop, Apache Spark, Apache Beam, Apache Kafka, Cloud Pub/Sub, and related technologies)

Â§ Streaming and Batch Data collection, and data security methodologies

o Data APIs, Visualization tools, Analytics, Machine Learning, AI

o In-depth experience of working at least of the leading public cloud provider (AWS/Azure/GCP)

o Experienced with packages such as NumPy, SciPy, Pandas, TensorFlow, scikit-learn
Excellent communication skills, ability to influence and collaborate with a cross-functional team of architects
Self-motivated with the ability to multi-task and work under minimal supervision
Must be a strong team player and able to collaborate effectively with an overseas team
Comfortable working with global teams operating across different time zones
Equinix is an equal opportunity employer. All applicants will be considered for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability.","Sunnyvale, CA",$134K-$213K (Glassdoor Est.),4.1,"Equinix
4.1",5001 to 10000 Employees,1998,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
