,job title,skills,min salary,max salary,avg salary
89,Business Systems Analyst,System design,125000,140000,132500.0
90,Business Systems Analyst,,125000,140000,132500.0
91,Business Systems Analyst,,125000,140000,132500.0
92,Business Systems Analyst,,125000,140000,132500.0
93,Business Systems Analyst,,125000,140000,132500.0
94,Business Analyst,Financial modeling,71000,100000,85500.0
95,Business Analyst,Accounting,71000,100000,85500.0
96,Business Analyst,Analysis skills,71000,100000,85500.0
97,Business Analyst,Lawson,71000,100000,85500.0
98,Business Analyst,ERP systems,71000,100000,85500.0
99,Business Analyst,,71000,100000,85500.0
100,Business Analyst,,71000,100000,85500.0
101,Business Systems Analyst,Microsoft Excel,62000,85000,73500.0
102,Business Systems Analyst,Data management,62000,85000,73500.0
103,Business Systems Analyst,Salesforce,62000,85000,73500.0
104,Business Systems Analyst,Time management,62000,85000,73500.0
105,Business Systems Analyst,,62000,85000,73500.0
106,Financial Analyst,Microsoft Excel,85300,131000,108150.0
107,Financial Analyst,Tableau,85300,131000,108150.0
108,Financial Analyst,SAP ERP,85300,131000,108150.0
109,Financial Analyst,Hyperion,85300,131000,108150.0
110,Financial Analyst,Communication skills,85300,131000,108150.0
111,Financial Analyst,,85300,131000,108150.0
112,ERP Analyst,Payroll,77000,100000,88500.0
113,ERP Analyst,Microsoft Excel,77000,100000,88500.0
114,ERP Analyst,SAP,77000,100000,88500.0
115,ERP Analyst,Organizational skills,77000,100000,88500.0
116,ERP Analyst,Business analysis,77000,100000,88500.0
117,ERP Analyst,,77000,100000,88500.0
118,ERP Analyst,Payroll,56000,78000,67000.0
119,ERP Analyst,SAP S/4HANA,56000,78000,67000.0
120,ERP Analyst,SAP,56000,78000,67000.0
121,ERP Analyst,Accounts payable,56000,78000,67000.0
122,ERP Analyst,Cost accounting,56000,78000,67000.0
123,ERP Analyst,,56000,78000,67000.0
124,Business Analyst,Supplier management,73000,100000,86500.0
125,Business Analyst,Project management,73000,100000,86500.0
126,Business Analyst,Analysis skills,73000,100000,86500.0
127,Business Analyst,EDI,73000,100000,86500.0
128,Business Analyst,Microsoft Excel,73000,100000,86500.0
129,Business Analyst,,73000,100000,86500.0
130,ERP Analyst,Requirements gathering,110000,160000,135000.0
131,ERP Analyst,Microsoft Powerpoint,110000,160000,135000.0
132,ERP Analyst,Oracle EBS,110000,160000,135000.0
133,ERP Analyst,Visio,110000,160000,135000.0
134,ERP Analyst,Business requirements,110000,160000,135000.0
135,ERP Analyst,,110000,160000,135000.0
136,Business Analyst,JD Edwards,100000,105000,102500.0
137,Business Analyst,Communication skills,100000,105000,102500.0
138,Business Analyst,,100000,105000,102500.0
139,Business Analyst,,100000,105000,102500.0
140,Sales Analyst,Project management,66000,85000,75500.0
141,Sales Analyst,Analysis skills,66000,85000,75500.0
142,Sales Analyst,Microsoft Excel,66000,85000,75500.0
143,Sales Analyst,SAP,66000,85000,75500.0
144,Sales Analyst,Microsoft Powerpoint,66000,85000,75500.0
145,Sales Analyst,,66000,85000,75500.0
146,Operations Analyst,Project planning,140000,170000,155000.0
147,Operations Analyst,Primavera,140000,170000,155000.0
148,Operations Analyst,Analysis skills,140000,170000,155000.0
149,Operations Analyst,Manufacturing,140000,170000,155000.0
150,Operations Analyst,ERP systems,140000,170000,155000.0
151,Operations Analyst,,140000,170000,155000.0
152,Operations Analyst,,140000,170000,155000.0
153,Business Process Analyst,Warehouse management,98000,130000,114000.0
154,Business Process Analyst,Customer service,98000,130000,114000.0
155,Business Process Analyst,Microsoft Excel,98000,130000,114000.0
156,Business Process Analyst,ERP systems,98000,130000,114000.0
157,Business Process Analyst,SAP ERP,98000,130000,114000.0
158,Business Process Analyst,,98000,130000,114000.0
159,Business Analyst,Creo,94000,130000,112000.0
160,Business Analyst,JD Edwards,94000,130000,112000.0
161,Business Analyst,ERP systems,94000,130000,112000.0
162,Business Analyst,SOX,94000,130000,112000.0
163,Business Analyst,ServiceNow,94000,130000,112000.0
164,Business Analyst,,94000,130000,112000.0
165,ERP Analyst,Accounting,130000,180000,155000.0
166,ERP Analyst,Power BI,130000,180000,155000.0
167,ERP Analyst,Azure,130000,180000,155000.0
168,ERP Analyst,Microsoft Excel,130000,180000,155000.0
169,ERP Analyst,Scrum,130000,180000,155000.0
170,ERP Analyst,,130000,180000,155000.0
171,ERP Analyst,,130000,180000,155000.0
172,IT Business Analyst,Analysis skills,130000,170000,150000.0
173,IT Business Analyst,Database management,130000,170000,150000.0
174,IT Business Analyst,SQL,130000,170000,150000.0
175,IT Business Analyst,Business analysis,130000,170000,150000.0
176,IT Business Analyst,SAP Materials Management,130000,170000,150000.0
177,IT Business Analyst,,130000,170000,150000.0
178,Business Analyst,ERP systems,78000,110000,94000.0
179,Business Analyst,Power BI,83000,100000,91500.0
180,Business Analyst,ERP systems,83000,100000,91500.0
181,Business Analyst,SAP ERP,83000,100000,91500.0
182,Business Analyst,Data visualization,83000,100000,91500.0
183,Business Analyst,Communication skills,83000,100000,91500.0
184,Business Analyst,,83000,100000,91500.0
185,Business Analyst,,83000,100000,91500.0
186,ERP Analyst,SAP,74000,110000,92000.0
187,ERP Analyst,ERP systems,74000,110000,92000.0
188,ERP Analyst,Systems analysis,74000,110000,92000.0
189,ERP Analyst,Interviewing,74000,110000,92000.0
190,ERP Analyst,System design,74000,110000,92000.0
191,ERP Analyst,,74000,110000,92000.0
192,Financial Analyst,Microsoft Access,67000,93000,80000.0
193,Financial Analyst,Project management,67000,93000,80000.0
194,Financial Analyst,Accounting,67000,93000,80000.0
195,Financial Analyst,Analysis skills,67000,93000,80000.0
196,Financial Analyst,Data governance,67000,93000,80000.0
197,Financial Analyst,,67000,93000,80000.0
198,IT Business Analyst,Project management,100000,130000,115000.0
199,IT Business Analyst,PMP,100000,130000,115000.0
200,IT Business Analyst,ERP systems,100000,130000,115000.0
201,IT Business Analyst,Business analysis,100000,130000,115000.0
202,IT Business Analyst,Scrum,100000,130000,115000.0
203,IT Business Analyst,EDI,81000,110000,95500.0
204,IT Business Analyst,Supply chain management,81000,110000,95500.0
205,IT Business Analyst,Azure,81000,110000,95500.0
206,IT Business Analyst,SQL,81000,110000,95500.0
207,IT Business Analyst,E-commerce,81000,110000,95500.0
208,IT Business Analyst,,81000,110000,95500.0
209,IT Business Analyst,,81000,110000,95500.0
210,Business Analyst,SQL,88000,132000,110000.0
211,Business Analyst,ERP systems,88000,132000,110000.0
212,Business Analyst,Business intelligence,88000,132000,110000.0
213,Business Analyst,SAP CRM,88000,132000,110000.0
214,Business Analyst,Communication skills,88000,132000,110000.0
215,Business Analyst,,88000,132000,110000.0
216,Business Analyst,,88000,132000,110000.0
217,ERP Analyst,Power BI,130000,170000,150000.0
218,ERP Analyst,Confluence,130000,170000,150000.0
219,ERP Analyst,Manufacturing,130000,170000,150000.0
220,ERP Analyst,SQL,130000,170000,150000.0
221,ERP Analyst,Oracle EBS,130000,170000,150000.0
222,ERP Analyst,,130000,170000,150000.0
223,Business Systems Analyst,,77000,110000,93500.0
224,Operations Analyst,Project management,79000,110000,94500.0
225,Operations Analyst,Analysis skills,79000,110000,94500.0
226,Operations Analyst,Microsoft Excel,79000,110000,94500.0
227,Operations Analyst,SAP,79000,110000,94500.0
228,Operations Analyst,ERP systems,79000,110000,94500.0
229,Operations Analyst,,79000,110000,94500.0
230,Business Systems Analyst,Unit testing,83000,110000,96500.0
231,Business Systems Analyst,Manufacturing,83000,110000,96500.0
232,Business Systems Analyst,Customer service,83000,110000,96500.0
233,Business Systems Analyst,SAP S/4HANA,83000,110000,96500.0
234,Business Systems Analyst,Sales,83000,110000,96500.0
235,Business Systems Analyst,,83000,110000,96500.0
236,Business Systems Analyst,,83000,110000,96500.0
237,Business Systems Analyst,,83000,110000,96500.0
238,Business Analyst,Supply chain,117200,195330,156265.0
239,Business Analyst,SQL,117200,195330,156265.0
240,Business Analyst,Microsoft Excel,117200,195330,156265.0
241,Business Analyst,Demand planning,117200,195330,156265.0
242,Business Analyst,Oracle,117200,195330,156265.0
243,Business Analyst,,117200,195330,156265.0
244,Business Analyst,,117200,195330,156265.0
245,Business Analyst,,117200,195330,156265.0
246,Business Process Analyst,SAP,91400,114300,102850.0
247,Business Process Analyst,Sales,91400,114300,102850.0
248,Business Process Analyst,SAP ERP,91400,114300,102850.0
249,Business Process Analyst,Service-oriented architecture,91400,114300,102850.0
250,Business Process Analyst,SAP CRM,91400,114300,102850.0
251,Business Process Analyst,,91400,114300,102850.0
252,Business Analyst,SQL,57505,70724,64114.5
253,Business Analyst,Microsoft Excel,57505,70724,64114.5
254,Business Analyst,ERP systems,57505,70724,64114.5
255,Business Analyst,Ellucian,57505,70724,64114.5
256,Business Analyst,Canvas,57505,70724,64114.5
257,Business Analyst,,57505,70724,64114.5
258,Business Analyst,,57505,70724,64114.5
259,Business Analyst,Six Sigma Certification,110000,140000,125000.0
260,Business Analyst,Power BI,110000,140000,125000.0
261,Business Analyst,Data modeling,110000,140000,125000.0
262,Business Analyst,Azure,110000,140000,125000.0
263,Business Analyst,Data visualization,110000,140000,125000.0
264,Business Analyst,,110000,140000,125000.0
265,Business Systems Analyst,Analysis skills,70752,92862,81807.0
266,Business Systems Analyst,Database management,70752,92862,81807.0
267,Business Systems Analyst,Manufacturing,70752,92862,81807.0
268,Business Systems Analyst,SQL,70752,92862,81807.0
269,Business Systems Analyst,ERP systems,70752,92862,81807.0
270,Business Systems Analyst,,70752,92862,81807.0
271,Business Analyst,Power BI,90000,112000,101000.0
272,Business Analyst,JD Edwards,90000,112000,101000.0
273,Business Analyst,Manufacturing,90000,112000,101000.0
274,Business Analyst,SQL,90000,112000,101000.0
275,Business Analyst,ERP systems,90000,112000,101000.0
276,Business Analyst,,90000,112000,101000.0
277,Business Systems Analyst,Microsoft Access,67132,83915,75523.5
278,Business Systems Analyst,SQL,67132,83915,75523.5
279,Business Systems Analyst,Microsoft Excel,67132,83915,75523.5
280,Business Systems Analyst,ERP systems,67132,83915,75523.5
281,Business Systems Analyst,Budgeting,67132,83915,75523.5
282,Business Systems Analyst,,67132,83915,75523.5
283,Business Systems Analyst,Analysis skills,50000,58000,54000.0
284,Business Systems Analyst,Database management,50000,58000,54000.0
285,Business Systems Analyst,Workday,50000,58000,54000.0
286,Business Systems Analyst,Systems analysis,50000,58000,54000.0
287,Business Systems Analyst,ServiceNow,50000,58000,54000.0
288,Business Systems Analyst,,50000,58000,54000.0
289,Business Systems Analyst,,50000,58000,54000.0
290,Business Analyst,Accounting,85000,95000,90000.0
291,Business Analyst,Manufacturing,85000,95000,90000.0
292,Business Analyst,ERP systems,85000,95000,90000.0
293,Business Analyst,Communication skills,85000,95000,90000.0
294,Business Analyst,Kaizen,85000,95000,90000.0
295,Business Analyst,,85000,95000,90000.0
296,Business Analyst,,85000,95000,90000.0
297,Business Systems Analyst,SQL,110000,120000,115000.0
298,Business Systems Analyst,Oracle EBS,110000,120000,115000.0
299,Business Systems Analyst,Oracle,110000,120000,115000.0
300,Business Systems Analyst,PL/SQL,110000,120000,115000.0
301,Business Systems Analyst,,110000,120000,115000.0
302,Business Analyst,Analysis skills,85000,110000,97500.0
303,Business Analyst,ITIL Certification,85000,110000,97500.0
304,Business Analyst,DoD 8570,85000,110000,97500.0
305,Business Analyst,IT,85000,110000,97500.0
306,Business Analyst,UCC law,85000,110000,97500.0
307,Business Analyst,,85000,110000,97500.0
308,Business Systems Analyst,Analysis skills,85000,120000,102500.0
309,Business Systems Analyst,Bank Secrecy Act,85000,120000,102500.0
310,Business Systems Analyst,Full-stack development,85000,120000,102500.0
311,Business Systems Analyst,Azure,85000,120000,102500.0
312,Business Systems Analyst,SQL,85000,120000,102500.0
313,Business Systems Analyst,,85000,120000,102500.0
314,Business Analyst,Six Sigma Certification,140000,170000,155000.0
315,Business Analyst,Lean Six Sigma Certification,140000,170000,155000.0
316,Business Analyst,Microsoft Excel,140000,170000,155000.0
317,Business Analyst,CCBA,140000,170000,155000.0
318,Business Analyst,Business process modeling,140000,170000,155000.0
319,Business Analyst,,140000,170000,155000.0
320,Operations Analyst,Writing skills,77000,110000,93500.0
321,Operations Analyst,Vulnerability management,77000,110000,93500.0
322,Operations Analyst,FIPS,77000,110000,93500.0
323,Operations Analyst,Windows,77000,110000,93500.0
324,Operations Analyst,FISMA,77000,110000,93500.0
325,Operations Analyst,,77000,110000,93500.0
326,Business Analyst,Power BI,74000,110000,92000.0
327,Business Analyst,Team management,74000,110000,92000.0
328,Business Analyst,SQL,74000,110000,92000.0
329,Business Analyst,Microsoft Excel,74000,110000,92000.0
330,Business Analyst,Leadership,74000,110000,92000.0
331,Business Analyst,,74000,110000,92000.0
332,Business Analyst,,74000,110000,92000.0
333,Business Analyst,,74000,110000,92000.0
334,ERP Analyst,Power BI,85000,120000,102500.0
335,ERP Analyst,SQL,85000,120000,102500.0
336,ERP Analyst,VBA,85000,120000,102500.0
337,ERP Analyst,Microsoft Excel,85000,120000,102500.0
338,ERP Analyst,SSIS,85000,120000,102500.0
339,ERP Analyst,,85000,120000,102500.0
340,ERP Analyst,,85000,120000,102500.0
341,ERP Analyst,,85000,120000,102500.0
342,ERP Analyst,,85000,120000,102500.0
343,Data Analyst,Power BI,80000,85000,82500.0
344,Data Analyst,Azure,80000,85000,82500.0
345,Data Analyst,SQL,80000,85000,82500.0
346,Data Analyst,Disaster recovery,80000,85000,82500.0
347,Data Analyst,ERP systems,80000,85000,82500.0
348,Data Analyst,,80000,85000,82500.0
349,Business Analyst,Driver's License,57606,83548,70577.0
350,Business Analyst,,57606,83548,70577.0
351,Business Analyst,,57606,83548,70577.0
352,Business Systems Analyst,Power BI,62000,84000,73000.0
353,Business Systems Analyst,ERP systems,62000,84000,73000.0
354,Business Systems Analyst,Business analysis,62000,84000,73000.0
355,Business Systems Analyst,System testing,62000,84000,73000.0
356,Business Systems Analyst,Business intelligence,62000,84000,73000.0
357,Business Systems Analyst,,62000,84000,73000.0
358,Business Analyst,Project management,76000,100000,88000.0
359,Business Analyst,Customer support,76000,100000,88000.0
360,Business Analyst,APICS Certification,76000,100000,88000.0
361,Business Analyst,MRP,76000,100000,88000.0
362,Business Analyst,PMP,76000,100000,88000.0
363,Business Analyst,,76000,100000,88000.0
364,Business Analyst,,76000,100000,88000.0
365,IT Business Analyst,Software deployment,120000,170000,145000.0
366,IT Business Analyst,Agile,120000,170000,145000.0
367,IT Business Analyst,Manufacturing,120000,170000,145000.0
368,IT Business Analyst,Supply chain,120000,170000,145000.0
369,IT Business Analyst,Business analysis,120000,170000,145000.0
370,IT Business Analyst,,120000,170000,145000.0
371,Data Analyst,Analysis skills,81000,100000,90500.0
372,Data Analyst,Power BI,81000,100000,90500.0
373,Data Analyst,SQL,81000,100000,90500.0
374,Data Analyst,Data governance,81000,100000,90500.0
375,Data Analyst,ERP systems,81000,100000,90500.0
376,Data Analyst,,81000,100000,90500.0
377,Data Analyst,Analysis skills,74000,100000,87000.0
378,Data Analyst,Power BI,74000,100000,87000.0
379,Data Analyst,SQL,74000,100000,87000.0
380,Data Analyst,Data governance,74000,100000,87000.0
381,Data Analyst,ERP systems,74000,100000,87000.0
382,Data Analyst,,74000,100000,87000.0
383,IT Business Analyst,Product demos,130000,180000,155000.0
384,IT Business Analyst,Cloud architecture,130000,180000,155000.0
385,IT Business Analyst,Business analysis,130000,180000,155000.0
386,IT Business Analyst,Management consulting,130000,180000,155000.0
387,IT Business Analyst,Accounts payable,130000,180000,155000.0
388,IT Business Analyst,,130000,180000,155000.0
389,IT Business Analyst,,130000,180000,155000.0
390,IT Business Analyst,,130000,180000,155000.0
391,Business Systems Analyst,Analysis skills,12000,84000,48000.0
392,Business Systems Analyst,Bank Secrecy Act,12000,84000,48000.0
393,Business Systems Analyst,Communication skills,12000,84000,48000.0
394,Business Systems Analyst,SDLC,12000,84000,48000.0
395,Business Systems Analyst,Oracle,12000,84000,48000.0
396,Business Systems Analyst,,12000,84000,48000.0
397,Business Systems Analyst,Analysis skills,78000,110000,94000.0
398,Business Systems Analyst,Bank Secrecy Act,78000,110000,94000.0
399,Business Systems Analyst,Communication skills,78000,110000,94000.0
400,Business Systems Analyst,SDLC,78000,110000,94000.0
401,Business Systems Analyst,Oracle,78000,110000,94000.0
402,Business Systems Analyst,,78000,110000,94000.0
403,Business Systems Analyst,JD Edwards,59000,74000,66500.0
404,Business Systems Analyst,Relational databases,59000,74000,66500.0
405,Business Systems Analyst,SQL,59000,74000,66500.0
406,Business Systems Analyst,Microsoft Excel,59000,74000,66500.0
407,Business Systems Analyst,ERP systems,59000,74000,66500.0
408,Business Systems Analyst,,59000,74000,66500.0
409,Data Analyst,Power BI,42000,58000,50000.0
410,Data Analyst,VBA,42000,58000,50000.0
411,Data Analyst,Microsoft Excel,42000,58000,50000.0
412,Data Analyst,SAS,42000,58000,50000.0
413,Data Analyst,Microsoft Powerpoint,42000,58000,50000.0
414,Data Analyst,,42000,58000,50000.0
415,Business Analyst,Microsoft Access,80000,85000,82500.0
416,Business Analyst,Power BI,80000,85000,82500.0
417,Business Analyst,Cognos,80000,85000,82500.0
418,Business Analyst,Azure,80000,85000,82500.0
419,Business Analyst,Supply chain,80000,85000,82500.0
420,Business Analyst,,80000,85000,82500.0
421,IT Business Analyst,Project management,110000,160000,135000.0
422,IT Business Analyst,Web development,110000,160000,135000.0
423,IT Business Analyst,Database management,110000,160000,135000.0
424,IT Business Analyst,Power BI,110000,160000,135000.0
425,IT Business Analyst,.NET,110000,160000,135000.0
426,IT Business Analyst,Supply chain management,62000,87000,74500.0
427,IT Business Analyst,Manufacturing,62000,87000,74500.0
428,IT Business Analyst,Customer service,62000,87000,74500.0
429,IT Business Analyst,SQL,62000,87000,74500.0
430,IT Business Analyst,ERP systems,62000,87000,74500.0
431,IT Business Analyst,,62000,87000,74500.0
432,Business Analyst,Supply chain management,59000,83000,71000.0
433,Business Analyst,SQL,59000,83000,71000.0
434,Business Analyst,ERP systems,59000,83000,71000.0
435,Business Analyst,Oracle,59000,83000,71000.0
436,Business Analyst,PL/SQL,59000,83000,71000.0
437,Business Analyst,,59000,83000,71000.0
438,Business Analyst,,59000,83000,71000.0
439,Business Analyst,SQL,66000,90000,78000.0
440,Business Analyst,Pricing,66000,90000,78000.0
441,Business Analyst,Oracle,66000,90000,78000.0
442,Business Analyst,PL/SQL,66000,90000,78000.0
443,Business Analyst,,66000,90000,78000.0
444,Business Analyst,,66000,90000,78000.0
445,Business Systems Analyst,Bank Secrecy Act,73000,97000,85000.0
446,Business Systems Analyst,Oracle HCM,73000,97000,85000.0
447,Business Systems Analyst,Contracts,73000,97000,85000.0
448,Business Systems Analyst,Oracle EBS,73000,97000,85000.0
449,Business Systems Analyst,Oracle,73000,97000,85000.0
450,IT Business Analyst,ERP systems,59000,87000,73000.0
451,IT Business Analyst,Computer networking,59000,87000,73000.0
452,IT Business Analyst,Oracle,59000,87000,73000.0
453,IT Business Analyst,Business analysis,59000,87000,73000.0
454,IT Business Analyst,Microsoft Office,59000,87000,73000.0
455,IT Business Analyst,,59000,87000,73000.0
456,ERP Analyst,Communication skills,85000,110000,97500.0
457,ERP Analyst,Manufacturing,85000,110000,97500.0
458,ERP Analyst,Business analysis,85000,110000,97500.0
459,ERP Analyst,,85000,110000,97500.0
460,Business Systems Analyst,Change management,90000,120000,105000.0
461,Business Systems Analyst,Analysis skills,90000,120000,105000.0
462,Business Systems Analyst,Manufacturing,90000,120000,105000.0
463,Business Systems Analyst,SAP S/4HANA,90000,120000,105000.0
464,Business Systems Analyst,SAP,90000,120000,105000.0
465,Business Analyst,SAP,93000,120000,106500.0
466,Business Analyst,E-commerce,93000,120000,106500.0
467,Business Analyst,ERP systems,93000,120000,106500.0
468,Business Analyst,Business analysis,93000,120000,106500.0
469,Business Analyst,Communication skills,93000,120000,106500.0
470,Business Analyst,,93000,120000,106500.0
471,Business Analyst,,93000,120000,106500.0
472,Business Analyst,,93000,120000,106500.0
473,Sales Analyst,Microsoft Access,81000,110000,95500.0
474,Sales Analyst,Statistical analysis,81000,110000,95500.0
475,Sales Analyst,Analysis skills,81000,110000,95500.0
476,Sales Analyst,Microsoft Excel,81000,110000,95500.0
477,Sales Analyst,Nielsen,81000,110000,95500.0
478,Sales Analyst,,81000,110000,95500.0
479,Business Analyst,Analysis skills,87000,110000,98500.0
480,Business Analyst,Customer service,87000,110000,98500.0
481,Business Analyst,Microsoft Excel,87000,110000,98500.0
482,Business Analyst,E-commerce,87000,110000,98500.0
483,Business Analyst,Sales,87000,110000,98500.0
484,Business Analyst,,87000,110000,98500.0
485,Business Analyst,Analysis skills,78000,100000,89000.0
486,Business Analyst,Customer service,78000,100000,89000.0
487,Business Analyst,Microsoft Excel,78000,100000,89000.0
488,Business Analyst,E-commerce,78000,100000,89000.0
489,Business Analyst,ERP systems,78000,100000,89000.0
490,Business Analyst,,78000,100000,89000.0
491,IT Business Analyst,PMP,100000,130000,115000.0
492,IT Business Analyst,Microsoft Excel,100000,130000,115000.0
493,IT Business Analyst,Budgeting,100000,130000,115000.0
494,IT Business Analyst,Microsoft Powerpoint,100000,130000,115000.0
495,IT Business Analyst,Certified Defense Financial Manager,100000,130000,115000.0
496,IT Business Analyst,,100000,130000,115000.0
497,IT Business Analyst,,100000,130000,115000.0
498,Business Systems Analyst,SQL,90592,113250,101921.0
499,Business Systems Analyst,B2B marketing,90592,113250,101921.0
500,Business Systems Analyst,Pardot,90592,113250,101921.0
501,Business Systems Analyst,Agile,90592,113250,101921.0
502,Business Systems Analyst,Marketing,90592,113250,101921.0
503,Business Analyst,Project management,71000,95000,83000.0
504,Business Analyst,Analysis skills,71000,95000,83000.0
505,Business Analyst,Relational databases,71000,95000,83000.0
506,Business Analyst,Azure,71000,95000,83000.0
507,Business Analyst,ERP systems,71000,95000,83000.0
508,Business Systems Analyst,Accounting,70000,87000,78500.0
509,Business Systems Analyst,Microsoft Excel,70000,87000,78500.0
510,Business Systems Analyst,ERP systems,70000,87000,78500.0
511,Business Systems Analyst,Financial report writing,70000,87000,78500.0
512,Business Systems Analyst,Business analysis,70000,87000,78500.0
513,Business Systems Analyst,,70000,87000,78500.0
514,Business Systems Analyst,,70000,87000,78500.0
515,Business Systems Analyst,,70000,87000,78500.0
516,IT Business Analyst,Project management,50000,68000,59000.0
517,IT Business Analyst,Analysis skills,50000,68000,59000.0
518,IT Business Analyst,SQL,50000,68000,59000.0
519,IT Business Analyst,Jira,50000,68000,59000.0
520,IT Business Analyst,Business analysis,50000,68000,59000.0
521,IT Business Analyst,,50000,68000,59000.0
522,IT Business Analyst,,50000,68000,59000.0
523,Business Systems Analyst,Project management,60580,80000,70290.0
524,Business Systems Analyst,Driver's License,60580,80000,70290.0
525,Business Systems Analyst,Software troubleshooting,60580,80000,70290.0
526,Business Systems Analyst,IT,60580,80000,70290.0
527,Business Systems Analyst,Project management methodology,60580,80000,70290.0
528,Business Systems Analyst,,60580,80000,70290.0
529,Business Systems Analyst,,60580,80000,70290.0
530,Business Systems Analyst,,60580,80000,70290.0
531,Business Analyst,Analysis skills,37000,53000,45000.0
