job title,skills,salary
Junior Software Developer (Python) (Hybrid) (No Work Experience Required),Python,"From $65,000 a year"
Junior Software Developer (Python) (Hybrid) (No Work Experience Required),E-commerce,"From $65,000 a year"
Junior Software Developer (Python) (Hybrid) (No Work Experience Required),Pandas,"From $65,000 a year"
Junior Developer,AWS,null
Junior Developer,HTML5,null
Junior Developer,NetSuite,null
Junior Level Software Developer,SQL,"$60,000 - $80,000 a year"
Junior Level Software Developer,Presentation skills,"$60,000 - $80,000 a year"
Junior Level Software Developer,Relational databases,"$60,000 - $80,000 a year"
Web Developer,SQL,"From $40,000 a year"
Web Developer,GitHub,"From $40,000 a year"
Web Developer,Node.js,"From $40,000 a year"
Software Engineer 1 - Recent Grad,NoSQL,"$51,100 - $123,750 a year"
Software Engineer 1 - Recent Grad,GitHub,"$51,100 - $123,750 a year"
Software Engineer 1 - Recent Grad,XML,"$51,100 - $123,750 a year"
Entry Level Java Developer - 482003,Java,"$45,000 - $50,000 a year"
Entry Level Java Developer - 482003,Hibernate,"$45,000 - $50,000 a year"
Entry Level Java Developer - 482003,RESTful API,"$45,000 - $50,000 a year"
Jr. Python Developer,Java,"$63,576 a year"
Jr. Python Developer,REST,"$63,576 a year"
Jr. Python Developer,Git,"$63,576 a year"
Entry Level Cloud Python Developer - 114087,Java,"$45,000 - $50,000 a year"
Entry Level Cloud Python Developer - 114087,RESTful API,"$45,000 - $50,000 a year"
Entry Level Cloud Python Developer - 114087,HTML5,"$45,000 - $50,000 a year"
Entry-Level Software Engineer,Git,"$80,000 - $120,000 a year"
Entry-Level Software Engineer,Kotlin,"$80,000 - $120,000 a year"
Entry-Level Software Engineer,Software development,"$80,000 - $120,000 a year"
Entry Level Full Stack Developer - Atlanta Only,SQL,"$70,000 - $120,000 a year"
Entry Level Full Stack Developer - Atlanta Only,Git,"$70,000 - $120,000 a year"
Entry Level Full Stack Developer - Atlanta Only,Node.js,"$70,000 - $120,000 a year"
Entry Level Dot Net Developer - 114086,ASP.NET,"$55,000 - $60,000 a year"
Entry Level Dot Net Developer - 114086,Visual Basic,"$55,000 - $60,000 a year"
Entry Level Dot Net Developer - 114086,.NET,"$55,000 - $60,000 a year"
Senior Statistical Programmer / Statistical Programmer - Early Clinical CVRM Biometrics,SAS,null
Exelaration - Software Development Team Member: – Wake Tech,.NET,$20 - $24 an hour
Exelaration - Software Development Team Member: – Wake Tech,Java,$20 - $24 an hour
Exelaration - Software Development Team Member: – Wake Tech,Software development,$20 - $24 an hour
iOS Developer,GitHub,null
iOS Developer,Git,null
iOS Developer,Continuous integration,null
Mobile Developer - Entry and Junior Levels,Kotlin,null
Mobile Developer - Entry and Junior Levels,Software development,null
Mobile Developer - Entry and Junior Levels,C++,null
Software Engineer I - Early in Career (2023 Bachelor's Degree),Java,null
Software Engineer I - Early in Career (2023 Bachelor's Degree),C++,null
Software Engineer I - Early in Career (2023 Bachelor's Degree),Operating systems,null
Software Engineer II (Remote),NoSQL,"$170,000 a year"
Software Engineer II (Remote),SQL,"$170,000 a year"
Software Engineer II (Remote),TypeScript,"$170,000 a year"
Trainee Software Developer (Must have an active OPT status),Java,"$38,762 - $92,952 a year"
Trainee Software Developer (Must have an active OPT status),Software development,"$38,762 - $92,952 a year"
Trainee Software Developer (Must have an active OPT status),C++,"$38,762 - $92,952 a year"
Trainee Software Developer (Must have an active OPT status),Python,"$38,762 - $92,952 a year"
"Full Stack Java Software Development Engineer, Software Dev & Engineering",Java,null
"Full Stack Java Software Development Engineer, Software Dev & Engineering",REST,null
"Full Stack Java Software Development Engineer, Software Dev & Engineering",Test-driven development,null
Software Development Engineer in Test (SDET),Git,"From $75,000 a year"
Software Development Engineer in Test (SDET),AWS,"From $75,000 a year"
Software Development Engineer in Test (SDET),HTML5,"From $75,000 a year"
Junior Application Developer/.NET,SQL,null
Junior Application Developer/.NET,.NET,null
Junior Application Developer/.NET,Java,null
Software Developer I (Entry-Level)*,ASP.NET,"$68,806 - $94,702 a year"
Software Developer I (Entry-Level)*,HTML5,"$68,806 - $94,702 a year"
Software Developer I (Entry-Level)*,Microsoft SQL Server,"$68,806 - $94,702 a year"
Entry Level React Developer Role,XML,"$60,000 - $70,000 a year"
Entry Level React Developer Role,TypeScript,"$60,000 - $70,000 a year"
Entry Level React Developer Role,Continuous integration,"$60,000 - $70,000 a year"
Cook @ Off the Rails Irish Pub,,$14 - $18 an hour
.Net Developer,Visual Basic,$35 - $45 an hour
.Net Developer,.NET,$35 - $45 an hour
.Net Developer,Software troubleshooting,$35 - $45 an hour
Android Developer,Java,null
Android Developer,Kotlin,null
Android Developer,Android,null
Physics/Math Graduate - Entry Level Software Developer,NoSQL,"$70,000 - $85,000 a year"
Physics/Math Graduate - Entry Level Software Developer,SQL,"$70,000 - $85,000 a year"
Physics/Math Graduate - Entry Level Software Developer,APIs,"$70,000 - $85,000 a year"
Physics/Math Graduate - Entry Level Software Developer,JavaScript,"$70,000 - $85,000 a year"
Software Developer - Entry Level,SQL,null
Software Developer - Entry Level,.NET,null
Software Developer - Entry Level,Java,null
Web Software Developer (Entry-Level),Python,"From $55,000 a year"
Web Software Developer (Entry-Level),Django,"From $55,000 a year"
Web Software Developer (Entry-Level),Analysis skills,"From $55,000 a year"
Entry to Mid Level Mobile App Developer.,Performance tuning,$30 - $40 an hour
Entry to Mid Level Mobile App Developer.,Git,$30 - $40 an hour
Entry to Mid Level Mobile App Developer.,Continuous integration,$30 - $40 an hour
Junior Android Developer,XML,"$70,000 - $80,000 a year"
Junior Android Developer,Java,"$70,000 - $80,000 a year"
Junior Android Developer,Git,"$70,000 - $80,000 a year"
Entry Level Android Developer,,"$60,000 - $75,000 a year"
Software Developer - Entry Level,GitHub,"$50,000 - $80,000 a year"
Software Developer - Entry Level,Java,"$50,000 - $80,000 a year"
Software Developer - Entry Level,C++,"$50,000 - $80,000 a year"
Entry-Level Software Engineer,Software development,null
Entry-Level Software Engineer,Scripting,null
Entry-Level Software Engineer,Angular,null
Entry Level iOS/Swift Developer (Hybrid Work Schedule),iOS,"$70,000 - $100,000 a year"
Entry Level iOS/Swift Developer (Hybrid Work Schedule),SDLC,"$70,000 - $100,000 a year"
Entry Level iOS/Swift Developer (Hybrid Work Schedule),AI,"$70,000 - $100,000 a year"
IT Development Program - Software Engineering 2023b,Java,null
IT Development Program - Software Engineering 2023b,Python,null
IT Development Program - Software Engineering 2023b,IT,null
